Country,Count,Lat,Long,Arrive
Australia,52,-25.2744,133.7751,LAX
Bahamas,16,25.0343,-77.3963,ATL
Belgium,3,50.5039,4.4699,BOTH
Belize,3,17.1899,-88.4976,BOTH
Bermuda,6,32.3078,-64.7505,ATL
Brazil,7,-14.235,-51.9253,ATL
Canada,43,56.1304,-106.3468,BOTH
Chile,14,-35.6751,-71.543,BOTH
China,55,35.8617,104.1954,LAX
Colombia,2,4.5709,-74.2973,ATL
Costa Rica,30,9.7489,-83.7534,BOTH
Cuba,3,21.5218,-77.7812,LAX
Dominican Republic,8,18.7357,-70.1627,ATL
Ecuador,6,-1.8312,-78.1834,ATL
El Salvador,47,13.7942,-88.8965,BOTH
England,4,52.3555,1.1743,ATL
Fiji,2,-17.7134,178.065,LAX
France,44,46.2276,2.2137,BOTH 
Germany,36,51.1657,10.4515,BOTH
Guam,3,13.4443,144.7937,LAX
Guatemala,27,15.7835,-90.2308,BOTH
Honduras,1,-15.2,-86.2419,ATL
Hong Kong,9,22.3193,114.1694,LAX
Italy,1,41.8719,12.5674,ATL
Jamaica,7,18.1096,-77.2975,ATL
Japan,83,36.2048,138.2529,BOTH
Luxembourg,4,49.8153,6.1296,BOTH
Mexico,403,23.6345,-102.5528,BOTH
Netherlands,71,52.1326,5.2913,BOTH
New Zealand,13,-40.9006,174.886,LAX
Panama,27,8.538,-80.7821,BOTH
Peru,21,-9.19,-75.0152,BOTH
Phillipines,4,12.8797,121.774,LAX
Puerto Rico,45,18.2208,-66.5901,ATL
Qatar,18,25.3548,51.1839,LAX
Russia,2,43.23300312,44.78300151,LAX
Singapore,22,1.3521,103.8198,LAX
South Korea,152,35.9078,127.7669,BOTH
Spain,1,40.4637,-3.7492,LAX
Taiwan,55,23.6978,120.9605,BOTH
Turkey,31,38.9637,35.2433,LAX
United Arab Emirates,52,23.4241,53.8478,BOTH
Virgin Islands,17,18.3358,-64.8963,ATL
