,0
0,Mexico
1,Germany
2,Cuba
3,Netherlands
4,Phillipines
5,Japan
6,El Salvador
7,China
8,
9,Turkey
10,Taiwan
11,Peru
12,Hong Kong
13,Costa Rica
14,United Arab Emirates
15,South Korea
16,Singapore
17,Chile
18,New Zealand
19,Australia
20,Guatemala
21,Luxembourg
22,Qatar
23,Panama
24,Canada
25,Guam
26,France
27,Ecuador
28,Belize
29,Fiji
30,Spain
31,Russia
32,Belgium
33,Bahamas
34,Virgin Islands
35,Puerto Rico
36,Dominican Republic
37,Jamaica
38,England
39,Italy
40,Brazil
41,Honduras
42,Bermuda
43,Colombia
